tstart 0.000000
tend 1.574000
errx 0.009295
erro 0.037920
shoulder_pitch 32.787025 72.212975
shoulder_roll 25.359199 134.640801
shoulder_yaw 83.515058 33.484942
elbow 5.216471 85.783529
wrist_prosup 117.460833 2.539167
wrist_pitch 54.666343 50.333657
wrist_yaw 44.999856 0.000144
hand_fingers 50.003671 9.996329
thumb_oppose 10.126553 79.873447
thumb_proximal 9.992581 80.007419
thumb_distal 9.995987 170.004013
index_proximal 10.069872 79.930128
index_distal 10.020273 169.979727
middle_proximal 10.072328 79.927672
middle_distal 10.022756 169.977244
pinky 10.092976 259.907024
torso_yaw 73.604959 26.395041
torso_roll 29.933612 30.066388
torso_pitch 38.316457 51.683543
