tstart 0.000000
tend 1.440000
errx 0.001123
erro 0.199858
shoulder_pitch 54.410659 50.589341
shoulder_roll 23.666555 136.333445
shoulder_yaw 110.790997 6.209003
elbow 7.634269 83.365731
wrist_prosup 77.270803 42.729197
wrist_pitch 42.095470 62.904530
wrist_yaw 44.999984 0.000016
hand_fingers 49.975611 10.024389
thumb_oppose 10.132262 79.867738
thumb_proximal 10.001169 79.998831
thumb_distal 10.001354 169.998646
index_proximal 10.070349 79.929651
index_distal 9.996624 170.003376
middle_proximal 10.071516 79.928484
middle_distal 10.022468 169.977532
pinky 10.091244 259.908756
torso_yaw 79.756123 20.243877
torso_roll 29.926847 30.073153
torso_pitch 19.860467 70.139533
