tstart 0.000000
tend 1.510000
errx 0.005595
erro 0.107331
shoulder_pitch 40.617554 64.382446
shoulder_roll 24.569835 135.430165
shoulder_yaw 95.517479 21.482521
elbow 0.102153 90.897847
wrist_prosup 98.373349 21.626651
wrist_pitch 48.612081 56.387919
wrist_yaw 44.999986 0.000014
hand_fingers 49.989664 10.010336
thumb_oppose 10.131236 79.868764
thumb_proximal 9.997847 80.002153
thumb_distal 10.000204 169.999796
index_proximal 10.070892 79.929108
index_distal 10.021436 169.978564
middle_proximal 10.072467 79.927533
middle_distal 10.023136 169.976864
pinky 10.092759 259.907241
torso_yaw 79.808740 20.191260
torso_roll 29.929588 30.070412
torso_pitch 29.559698 60.440302
