tstart 0.000000
tend 1.580000
errx 0.002727
erro 0.215953
shoulder_pitch 54.734868 50.265132
shoulder_roll 23.220637 136.779363
shoulder_yaw 116.249671 0.750329
elbow 3.553582 87.446418
wrist_prosup 68.009913 51.990087
wrist_pitch 38.233049 66.766951
wrist_yaw 44.999983 0.000017
hand_fingers 49.746359 10.285811
thumb_oppose 10.132870 79.867130
thumb_proximal 10.004867 79.995133
thumb_distal 10.004790 169.995210
index_proximal 10.070228 79.929772
index_distal 10.020863 169.979137
middle_proximal 10.071037 79.928963
middle_distal 10.022130 169.977870
pinky 10.058278 259.941722
torso_yaw 85.323092 14.676908
torso_roll 29.911264 30.088736
torso_pitch 19.819200 70.180800
