tstart 0.000000
tend 1.790000
errx 0.003202
erro 0.167805
shoulder_pitch 61.637375 43.362625
shoulder_roll 23.891016 136.108984
shoulder_yaw 97.577186 19.422814
elbow 17.553466 73.446534
wrist_prosup 94.516095 25.483905
wrist_pitch 44.832399 60.167601
wrist_yaw 44.999986 0.000014
hand_fingers 49.983029 10.016971
thumb_oppose 10.132251 79.867749
thumb_proximal 9.999401 80.000599
thumb_distal 10.000681 169.999319
index_proximal 10.070780 79.929220
index_distal 10.021233 169.978767
middle_proximal 10.072114 79.927886
middle_distal 10.022863 169.977137
pinky 10.092141 259.907859
torso_yaw 71.013792 28.986208
torso_roll 29.917850 30.082150
torso_pitch 20.437804 69.562196
