tstart 0.000000
tend 1.465000
errx 0.001445
erro 0.148755
shoulder_pitch 52.158906 52.841094
shoulder_roll 23.999536 136.000464
shoulder_yaw 98.472049 18.527951
elbow 6.130436 84.869564
wrist_prosup 90.987250 29.012750
wrist_pitch 45.033556 59.966444
wrist_yaw 44.999985 0.000015
hand_fingers 49.985093 10.014907
thumb_oppose 10.131982 79.868018
thumb_proximal 9.999514 80.000486
thumb_distal 10.001153 169.998847
index_proximal 10.070554 79.929446
index_distal 9.996728 170.003272
middle_proximal 10.071946 79.928054
middle_distal 10.022644 169.977356
pinky 10.091845 259.908155
torso_yaw 78.929068 21.070932
torso_roll 29.901828 30.098172
torso_pitch 23.160224 66.839776
