tstart 0.000000
tend 1.592000
errx 0.004095
erro 0.105080
shoulder_pitch 44.739885 60.260115
shoulder_roll 24.437862 135.562138
shoulder_yaw 97.628619 19.371381
elbow 0.356686 90.643314
wrist_prosup 94.927776 25.072224
wrist_pitch 44.612730 60.387270
wrist_yaw 44.999985 0.000015
hand_fingers 49.762356 10.270192
thumb_oppose 10.130555 79.869445
thumb_proximal 9.995930 80.004070
thumb_distal 9.997808 170.002192
index_proximal 10.070745 79.929255
index_distal 10.021208 169.978792
middle_proximal 10.072559 79.927441
middle_distal 10.023232 169.976768
pinky 10.093150 259.906850
torso_yaw 79.545707 20.454293
torso_roll 29.930531 30.069469
torso_pitch 28.872364 61.127636
