tstart 0.000000
tend 1.455000
errx 0.005623
erro 0.513523
shoulder_pitch 79.051577 25.948423
shoulder_roll 23.691877 136.308123
shoulder_yaw 113.844449 3.155569
elbow 40.177617 50.822383
wrist_prosup 86.670654 33.329346
wrist_pitch 31.350612 73.649388
wrist_yaw 45.000146 0.000151
hand_fingers 49.827061 10.183633
thumb_oppose 10.133278 79.866722
thumb_proximal 10.014912 79.985088
thumb_distal 10.005066 169.994934
index_proximal 10.068835 79.931165
index_distal 10.021603 169.978397
middle_proximal 10.068086 79.931914
middle_distal 10.022550 169.977450
pinky 10.077464 259.922536
torso_yaw 68.005870 31.994130
torso_roll 29.956572 30.043428
torso_pitch 19.626890 70.373110
