tstart 0.000000
tend 1.498000
errx 0.001964
erro 0.208022
shoulder_pitch 59.976619 45.023381
shoulder_roll 24.027719 135.972281
shoulder_yaw 96.767527 20.232473
elbow 21.151323 69.848677
wrist_prosup 95.840663 24.159337
wrist_pitch 49.558061 55.441939
wrist_yaw 44.999987 0.000013
hand_fingers 49.980039 10.019961
thumb_oppose 10.131539 79.868461
thumb_proximal 10.000663 79.999337
thumb_distal 10.001780 169.998220
index_proximal 10.070557 79.929443
index_distal 10.020969 169.979031
middle_proximal 10.071834 79.928166
middle_distal 10.022591 169.977409
pinky 10.059379 259.940621
torso_yaw 70.691361 29.308639
torso_roll 29.920627 30.079373
torso_pitch 19.846665 70.153335
