tstart 0.000000
tend 1.525000
errx 0.002473
erro 0.068377
shoulder_pitch 43.225560 61.774440
shoulder_roll 24.826811 135.173189
shoulder_yaw 83.127562 33.872438
elbow 10.006851 80.993149
wrist_prosup 113.668241 6.331759
wrist_pitch 52.752883 52.247117
wrist_yaw 44.999986 0.000014
hand_fingers 49.772425 10.260007
thumb_oppose 10.130441 79.869559
thumb_proximal 9.996295 80.003705
thumb_distal 9.999923 170.000077
index_proximal 10.070526 79.929474
index_distal 10.020897 169.979103
middle_proximal 10.072277 79.927723
middle_distal 10.022637 169.977363
pinky 10.092059 259.907941
torso_yaw 72.955721 27.044279
torso_roll 29.912006 30.087994
torso_pitch 32.892582 57.107418
