tstart 0.000000
tend 1.845000
errx 0.005561
erro 0.087427
shoulder_pitch 44.872150 60.127850
shoulder_roll 24.517772 135.482228
shoulder_yaw 97.187552 19.812448
elbow 1.821079 89.178921
wrist_prosup 96.887892 23.112108
wrist_pitch 44.523249 60.476751
wrist_yaw 44.999985 0.000015
hand_fingers 49.992678 10.007322
thumb_oppose 10.130155 79.869845
thumb_proximal 9.995762 80.004238
thumb_distal 9.998058 170.001942
index_proximal 10.070509 79.929491
index_distal 10.020941 169.979059
middle_proximal 10.072375 79.927625
middle_distal 10.022960 169.977040
pinky 10.092726 259.907274
torso_yaw 76.910220 23.089780
torso_roll 29.934143 30.065857
torso_pitch 29.987749 60.012251
