tstart 0.000000
tend 1.522000
errx 0.006864
erro 0.055595
shoulder_pitch 34.347730 70.652270
shoulder_roll 25.217104 134.782896
shoulder_yaw 82.449160 34.550840
elbow 2.838207 88.161793
wrist_prosup 117.367804 2.632196
wrist_pitch 51.599173 53.400827
wrist_yaw 44.999984 0.000016
hand_fingers 49.999628 10.000372
thumb_oppose 10.129149 79.870851
thumb_proximal 9.995017 80.004983
thumb_distal 9.998387 170.001613
index_proximal 10.070700 79.929300
index_distal 9.996794 170.003206
middle_proximal 10.072713 79.927287
middle_distal 10.023212 169.976788
pinky 10.060737 259.939263
torso_yaw 76.208366 23.791634
torso_roll 29.904737 30.095263
torso_pitch 38.148740 51.851260
