tstart 0.000000
tend 1.812000
errx 0.009406
erro 0.021162
shoulder_pitch 32.437764 72.562236
shoulder_roll 25.279450 134.720550
shoulder_yaw 84.932318 32.067682
elbow 8.694146 82.305854
wrist_prosup 117.791414 2.208586
wrist_pitch 55.031193 49.968807
wrist_yaw 44.999104 0.000896
hand_fingers 50.007703 9.992297
thumb_oppose 10.127316 79.872684
thumb_proximal 9.992033 80.007967
thumb_distal 9.995907 170.004093
index_proximal 10.069544 79.930456
index_distal 10.019973 169.980027
middle_proximal 10.072039 79.927961
middle_distal 10.022422 169.977578
pinky 10.059822 259.940178
torso_yaw 69.237239 30.762761
torso_roll 29.944253 30.055747
torso_pitch 40.679737 49.320263
