tstart 0.000000
tend 1.539000
errx 0.004221
erro 0.054731
shoulder_pitch 44.016321 60.983679
shoulder_roll 24.981159 135.018841
shoulder_yaw 83.135690 33.864310
elbow 13.089749 77.910251
wrist_prosup 113.946243 6.053757
wrist_pitch 54.948083 50.051917
wrist_yaw 44.999986 0.000014
hand_fingers 49.773811 10.258755
thumb_oppose 10.128831 79.871169
thumb_proximal 9.994235 80.005765
thumb_distal 9.997790 170.002210
index_proximal 10.070417 79.929583
index_distal 10.020844 169.979156
middle_proximal 10.072530 79.927470
middle_distal 9.998581 170.001419
pinky 10.027795 259.972205
torso_yaw 70.462350 29.537650
torso_roll 29.922469 30.077531
torso_pitch 32.227845 57.772155
