tstart 0.000000
tend 1.412000
errx 0.004444
erro 0.081054
shoulder_pitch 38.942042 66.057958
shoulder_roll 25.060061 134.939939
shoulder_yaw 82.230111 34.769889
elbow 1.573267 89.426733
wrist_prosup 114.074608 5.925392
wrist_pitch 49.186138 55.813862
wrist_yaw 44.999985 0.000015
hand_fingers 49.769259 10.263161
thumb_oppose 10.129857 79.870143
thumb_proximal 9.994870 80.005130
thumb_distal 9.997477 170.002523
index_proximal 10.070663 79.929337
index_distal 10.021154 169.978846
middle_proximal 10.072669 79.927331
middle_distal 10.023280 169.976720
pinky 10.093429 259.906571
torso_yaw 79.102382 20.897618
torso_roll 29.907106 30.092894
torso_pitch 34.739964 55.260036
