tstart 0.000000
tend 1.356312
errx 0.010363
erro 0.094745
shoulder_pitch 37.371445 67.628555
shoulder_roll 25.503979 134.496021
shoulder_yaw 83.513302 33.486698
elbow 0.000215 91.000215
wrist_prosup 112.124966 7.875034
wrist_pitch 50.537177 54.462823
wrist_yaw 44.999987 0.000013
hand_fingers 49.991663 10.008337
thumb_oppose 10.127938 79.872062
thumb_proximal 9.994958 80.005042
thumb_distal 9.996890 170.003110
index_proximal 10.070607 79.929393
index_distal 10.021134 169.978866
middle_proximal 10.072696 79.927304
middle_distal 10.023402 169.976598
pinky 10.093783 259.906217
torso_yaw 81.175114 18.824886
torso_roll 29.927327 30.072673
torso_pitch 33.962555 56.037445
