tstart 0.000000
tend 1.661000
errx 0.003285
erro 0.173570
shoulder_pitch 52.279898 52.720102
shoulder_roll 23.646550 136.353450
shoulder_yaw 102.638515 14.361485
elbow 3.881271 87.118729
wrist_prosup 84.423834 35.576166
wrist_pitch 43.874807 61.125193
wrist_yaw 44.999985 0.000015
hand_fingers 49.982090 10.017910
thumb_oppose 10.132262 79.867738
thumb_proximal 9.999945 80.000055
thumb_distal 10.000846 169.999154
index_proximal 10.070571 79.929429
index_distal 10.021066 169.978934
middle_proximal 10.071822 79.928178
middle_distal 10.022629 169.977371
pinky 10.091487 259.908513
torso_yaw 82.418310 17.581690
torso_roll 29.901469 30.098531
torso_pitch 21.432763 68.567237
