tstart 0.000000
tend 1.702000
errx 0.003849
erro 0.074791
shoulder_pitch 41.988617 63.011383
shoulder_roll 24.987501 135.012499
shoulder_yaw 83.182279 33.817721
elbow 6.912729 84.087271
wrist_prosup 112.883368 7.116632
wrist_pitch 51.982237 53.017763
wrist_yaw 44.999986 0.000014
hand_fingers 49.997444 10.002556
thumb_oppose 10.130589 79.869411
thumb_proximal 9.996317 80.003683
thumb_distal 9.999713 170.000287
index_proximal 10.070621 79.929379
index_distal 10.021053 169.978947
middle_proximal 10.072371 79.927629
middle_distal 10.022816 169.977184
pinky 10.060040 259.939960
torso_yaw 75.518205 24.481795
torso_roll 29.910179 30.089821
torso_pitch 32.547845 57.452155
