tstart 0.000000
tend 1.789000
errx 0.002069
erro 0.116440
shoulder_pitch 53.405571 51.594429
shoulder_roll 24.364986 135.635014
shoulder_yaw 94.387360 22.612640
elbow 11.382076 79.617924
wrist_prosup 98.136552 21.863448
wrist_pitch 47.566988 57.433012
wrist_yaw 44.999986 0.000014
hand_fingers 49.990768 10.009232
thumb_oppose 10.130634 79.869366
thumb_proximal 9.997036 80.002964
thumb_distal 9.999278 170.000722
index_proximal 10.070527 79.929473
index_distal 10.020941 169.979059
middle_proximal 10.072229 79.927771
middle_distal 10.022816 169.977184
pinky 10.092404 259.907596
torso_yaw 73.040264 26.959736
torso_roll 29.926146 30.073854
torso_pitch 24.225075 65.774925
