tstart 0.000000
tend 1.507000
errx 0.000886
erro 0.152730
shoulder_pitch 45.788737 59.211263
shoulder_roll 24.276403 135.723597
shoulder_yaw 94.441141 22.558859
elbow 0.369260 90.630740
wrist_prosup 95.581268 24.418732
wrist_pitch 45.408656 59.591344
wrist_yaw 44.999985 0.000015
hand_fingers 49.983688 10.016312
thumb_oppose 10.131613 79.868387
thumb_proximal 9.998725 80.001275
thumb_distal 9.999912 170.000088
index_proximal 10.070710 79.929290
index_distal 10.021197 169.978803
middle_proximal 10.072178 79.927822
middle_distal 10.022957 169.977043
pinky 10.092426 259.907574
torso_yaw 83.559838 16.440162
torso_roll 29.892885 30.107115
torso_pitch 27.546080 62.453920
