tstart 0.000000
tend 1.839000
errx 0.001122
erro 0.186968
shoulder_pitch 59.630344 45.369656
shoulder_roll 24.188727 135.811273
shoulder_yaw 96.720568 20.279432
elbow 19.967547 71.032453
wrist_prosup 95.676213 24.323787
wrist_pitch 49.337205 55.662795
wrist_yaw 44.999987 0.000013
hand_fingers 49.982348 10.017652
thumb_oppose 10.130800 79.869200
thumb_proximal 9.998497 80.001503
thumb_distal 9.999478 170.000522
index_proximal 10.070236 79.929764
index_distal 10.020603 169.979397
middle_proximal 10.071759 79.928241
middle_distal 10.022466 169.977534
pinky 10.091670 259.908330
torso_yaw 70.532684 29.467316
torso_roll 29.931195 30.068805
torso_pitch 19.864110 70.135890
