tstart 0.000000
tend 1.791000
errx 0.002872
erro 0.057356
shoulder_pitch 47.416317 57.583683
shoulder_roll 24.883154 135.116846
shoulder_yaw 82.898948 34.101052
elbow 13.988845 77.011155
wrist_prosup 113.979129 6.020871
wrist_pitch 51.561635 53.438365
wrist_yaw 44.999986 0.000014
hand_fingers 50.000077 9.999923
thumb_oppose 10.129721 79.870279
thumb_proximal 9.994599 80.005401
thumb_distal 9.998092 170.001908
index_proximal 10.070626 79.929374
index_distal 10.021058 169.978942
middle_proximal 10.072653 79.927347
middle_distal 10.023113 169.976887
pinky 10.093193 259.906807
torso_yaw 69.847836 30.152164
torso_roll 29.920927 30.079073
torso_pitch 32.878906 57.121094
