tstart 0.000000
tend 1.514000
errx 0.003662
erro 0.072281
shoulder_pitch 41.639206 63.360794
shoulder_roll 24.953321 135.046679
shoulder_yaw 82.897277 34.102723
elbow 6.857212 84.142788
wrist_prosup 113.573889 6.426111
wrist_pitch 51.616247 53.383753
wrist_yaw 44.999986 0.000014
hand_fingers 49.997338 10.002662
thumb_oppose 10.130499 79.869501
thumb_proximal 9.996079 80.003921
thumb_distal 9.999437 170.000563
index_proximal 10.070529 79.929471
index_distal 10.020954 169.979046
middle_proximal 10.072301 79.927699
middle_distal 10.022739 169.977261
pinky 10.092213 259.907787
torso_yaw 75.291444 24.708556
torso_roll 29.899812 30.100188
torso_pitch 33.346119 56.653881
