tstart 0.000000
tend 1.396000
errx 0.002846
erro 0.092234
shoulder_pitch 49.346874 55.653126
shoulder_roll 24.548867 135.451133
shoulder_yaw 91.357719 25.642281
elbow 10.977736 80.022264
wrist_prosup 102.712234 17.287766
wrist_pitch 50.846656 54.153344
wrist_yaw 44.999987 0.000013
hand_fingers 49.995485 10.004515
thumb_oppose 10.130103 79.869897
thumb_proximal 9.996182 80.003818
thumb_distal 9.999066 170.000934
index_proximal 10.070427 79.929573
index_distal 10.020827 169.979173
middle_proximal 10.072253 79.927747
middle_distal 10.022740 169.977260
pinky 10.060505 259.939495
torso_yaw 72.184344 27.815656
torso_roll 29.929376 30.070624
torso_pitch 26.203750 63.796250
