tstart 0.000000
tend 1.284000
errx 0.011060
erro 0.021853
shoulder_pitch 31.403595 73.596405
shoulder_roll 25.390608 134.609392
shoulder_yaw 85.074268 31.925732
elbow 8.057629 82.942371
wrist_prosup 118.288990 1.711010
wrist_pitch 54.306809 50.693191
wrist_yaw 44.998380 0.001621
hand_fingers 50.006773 9.993227
thumb_oppose 10.127789 79.872211
thumb_proximal 9.993227 80.006773
thumb_distal 9.997482 170.002518
index_proximal 10.069875 79.930125
index_distal 10.020294 169.979706
middle_proximal 10.072160 79.927840
middle_distal 10.022467 169.977533
pinky 10.059596 259.940404
torso_yaw 69.030679 30.969321
torso_roll 29.946610 30.053390
torso_pitch 42.041813 47.958187
