tstart 0.000000
tend 1.535000
errx 0.005064
erro 0.089510
shoulder_pitch 45.159919 59.840081
shoulder_roll 24.511338 135.488662
shoulder_yaw 96.596787 20.403213
elbow 2.883959 88.116041
wrist_prosup 97.335984 22.664016
wrist_pitch 46.178515 58.821485
wrist_yaw 44.999985 0.000015
hand_fingers 49.770228 10.261720
thumb_oppose 10.129864 79.870136
thumb_proximal 9.996272 80.003728
thumb_distal 9.974912 170.025088
index_proximal 10.070521 79.929479
index_distal 10.020962 169.979038
middle_proximal 10.072350 79.927650
middle_distal 9.998993 170.001007
pinky 10.060677 259.939323
torso_yaw 76.551123 23.448877
torso_roll 29.929068 30.070932
torso_pitch 28.752335 61.247665
