tstart 0.000000
tend 1.501000
errx 0.003570
erro 0.177902
shoulder_pitch 51.137847 53.862153
shoulder_roll 23.614697 136.385303
shoulder_yaw 102.276129 14.723871
elbow 1.609706 89.390294
wrist_prosup 83.615486 36.384514
wrist_pitch 44.058399 60.941601
wrist_yaw 45.000372 0.000372
hand_fingers 49.982025 10.017975
thumb_oppose 10.132706 79.867294
thumb_proximal 10.000548 79.999452
thumb_distal 10.001385 169.998615
index_proximal 10.070470 79.929530
index_distal 9.996605 170.003395
middle_proximal 10.071662 79.928338
middle_distal 10.022499 169.977501
pinky 10.091196 259.908804
torso_yaw 84.903157 15.096843
torso_roll 30.004426 29.995574
torso_pitch 21.488255 68.511745
