tstart 0.000000
tend 1.441000
errx 0.001815
erro 0.297722
shoulder_pitch 55.841565 49.158435
shoulder_roll 23.931899 136.068101
shoulder_yaw 107.770806 9.229194
elbow 20.285456 70.714544
wrist_prosup 85.140366 34.859634
wrist_pitch 47.428085 57.571915
wrist_yaw 44.999985 0.000015
hand_fingers 49.963884 10.036116
thumb_oppose 10.132794 79.867206
thumb_proximal 10.002682 79.997318
thumb_distal 9.977038 170.022962
index_proximal 10.070611 79.929389
index_distal 10.021258 169.978742
middle_proximal 10.071511 79.928489
middle_distal 9.998382 170.001618
pinky 10.091456 259.908544
torso_yaw 73.428755 26.571245
torso_roll 29.923943 30.076057
torso_pitch 19.928972 70.071028
