tstart 0.000000
tend 1.624000
errx 0.001600
erro 0.139341
shoulder_pitch 49.125553 55.874447
shoulder_roll 23.848551 136.151449
shoulder_yaw 107.511556 9.488444
elbow 0.773720 90.226280
wrist_prosup 82.064120 37.935880
wrist_pitch 41.359774 63.640226
wrist_yaw 44.999984 0.000016
hand_fingers 49.984213 10.015787
thumb_oppose 10.131923 79.868077
thumb_proximal 9.999554 80.000446
thumb_distal 10.001018 169.998982
index_proximal 10.070612 79.929388
index_distal 10.021110 169.978890
middle_proximal 10.071981 79.928019
middle_distal 10.022734 169.977266
pinky 10.091967 259.908033
torso_yaw 81.152206 18.847794
torso_roll 29.921651 30.078349
torso_pitch 25.074545 64.925455
