tstart 0.000000
tend 1.677000
errx 0.006168
erro 0.048550
shoulder_pitch 46.120140 58.879860
shoulder_roll 25.081375 134.918625
shoulder_yaw 83.851344 33.148656
elbow 12.076741 78.923259
wrist_prosup 113.454695 6.545305
wrist_pitch 50.625746 54.374254
wrist_yaw 44.999985 0.000015
hand_fingers 50.000969 9.999031
thumb_oppose 10.129882 79.870118
thumb_proximal 9.995126 80.004874
thumb_distal 9.998710 170.001290
index_proximal 10.070644 79.929356
index_distal 10.021162 169.978838
middle_proximal 10.072587 79.927413
middle_distal 10.023083 169.976917
pinky 10.092903 259.907097
torso_yaw 70.061233 29.938767
torso_roll 29.956610 30.043390
torso_pitch 33.798090 56.201910
