tstart 0.000000
tend 1.800000
errx 0.005125
erro 0.086616
shoulder_pitch 42.493744 62.506256
shoulder_roll 24.792470 135.207530
shoulder_yaw 89.232722 27.767278
elbow 3.119156 87.880844
wrist_prosup 104.927646 15.072354
wrist_pitch 50.050626 54.949374
wrist_yaw 44.999986 0.000014
hand_fingers 49.542685 10.522155
thumb_oppose 10.128812 79.871188
thumb_proximal 9.994832 80.005168
thumb_distal 9.997335 170.002665
index_proximal 10.070223 79.929777
index_distal 10.020624 169.979376
middle_proximal 10.072273 79.927727
middle_distal 10.022808 169.977192
pinky 10.060191 259.939809
torso_yaw 77.711144 22.288856
torso_roll 29.913486 30.086514
torso_pitch 29.594092 60.405908
