tstart 0.000000
tend 1.760000
errx 0.003739
erro 0.123921
shoulder_pitch 46.142373 58.857627
shoulder_roll 24.030091 135.969909
shoulder_yaw 106.648034 10.351966
elbow 0.320529 90.679471
wrist_prosup 85.185955 34.814045
wrist_pitch 42.451559 62.548441
wrist_yaw 44.999984 0.000016
hand_fingers 49.986315 10.013685
thumb_oppose 10.131052 79.868948
thumb_proximal 9.997939 80.002061
thumb_distal 9.999462 170.000538
index_proximal 10.070439 79.929561
index_distal 10.020893 169.979107
middle_proximal 10.072025 79.927975
middle_distal 10.022723 169.977277
pinky 10.059743 259.940257
torso_yaw 79.631278 20.368722
torso_roll 29.930041 30.069959
torso_pitch 27.386476 62.613524
