tstart 0.000000
tend 1.347000
errx 0.005023
erro 0.083250
shoulder_pitch 45.647002 59.352998
shoulder_roll 24.975040 135.024960
shoulder_yaw 85.671252 31.328748
elbow 6.049152 84.950848
wrist_prosup 108.847290 11.152710
wrist_pitch 48.258720 56.741280
wrist_yaw 44.999986 0.000014
hand_fingers 49.995043 10.004957
thumb_oppose 10.129497 79.870503
thumb_proximal 9.995842 80.004158
thumb_distal 9.998576 170.001424
index_proximal 10.070616 79.929384
index_distal 10.021045 169.978955
middle_proximal 10.072511 79.927489
middle_distal 10.023033 169.976967
pinky 10.060657 259.939343
torso_yaw 76.139371 23.860629
torso_roll 29.913258 30.086742
torso_pitch 31.489184 58.510816
