tstart 0.000000
tend 1.504000
errx 0.007138
erro 0.125937
shoulder_pitch 52.552009 52.447991
shoulder_roll 24.866990 135.133010
shoulder_yaw 100.376768 16.623232
elbow 6.063436 84.936564
wrist_prosup 89.392186 30.607814
wrist_pitch 44.808023 60.191977
wrist_yaw 44.999985 0.000015
hand_fingers 49.989105 10.010895
thumb_oppose 10.128330 79.871670
thumb_proximal 9.996407 80.003593
thumb_distal 9.997801 170.002199
index_proximal 10.069730 79.930270
index_distal 10.020146 169.979854
middle_proximal 10.071659 79.928341
middle_distal 10.022321 169.977679
pinky 10.091749 259.908251
torso_yaw 77.991297 22.008703
torso_roll 29.928611 30.071389
torso_pitch 23.162565 66.837435
