tstart 0.000000
tend 1.662000
errx 0.003144
erro 0.120108
shoulder_pitch 52.511567 52.488433
shoulder_roll 24.221929 135.778071
shoulder_yaw 98.849336 18.150664
elbow 8.357424 82.642576
wrist_prosup 92.871944 27.128056
wrist_pitch 45.612799 59.387201
wrist_yaw 44.999986 0.000014
hand_fingers 49.988835 10.011165
thumb_oppose 10.131097 79.868903
thumb_proximal 9.997610 80.002390
thumb_distal 9.999463 170.000537
index_proximal 10.070408 79.929592
index_distal 10.020829 169.979171
middle_proximal 10.072012 79.927988
middle_distal 10.022628 169.977372
pinky 10.026967 259.973033
torso_yaw 74.725852 25.274148
torso_roll 29.947381 30.052619
torso_pitch 23.845335 66.154665
