tstart 0.000000
tend 1.444000
errx 0.001313
erro 0.201119
shoulder_pitch 62.159470 42.840530
shoulder_roll 24.067175 135.932825
shoulder_yaw 97.514417 19.485583
elbow 21.990347 69.009653
wrist_prosup 95.715224 24.284776
wrist_pitch 47.590216 57.409784
wrist_yaw 44.999986 0.000014
hand_fingers 49.979678 10.020322
thumb_oppose 10.131596 79.868404
thumb_proximal 9.999520 80.000480
thumb_distal 10.000224 169.999776
index_proximal 10.070422 79.929578
index_distal 10.020832 169.979168
middle_proximal 10.071787 79.928213
middle_distal 10.022572 169.977428
pinky 10.091686 259.908314
torso_yaw 69.358678 30.641322
torso_roll 29.921619 30.078381
torso_pitch 19.919450 70.080550
