tstart 0.000000
tend 1.470000
errx 0.010901
erro 0.046464
shoulder_pitch 30.893102 74.106898
shoulder_roll 25.553746 134.446254
shoulder_yaw 82.484041 34.515959
elbow 0.992980 90.007020
wrist_prosup 118.732597 1.267403
wrist_pitch 52.375926 52.624074
wrist_yaw 44.999856 0.000146
hand_fingers 50.000363 9.999637
thumb_oppose 10.130069 79.869931
thumb_proximal 9.996128 80.003872
thumb_distal 9.999899 170.000101
index_proximal 10.070860 79.929140
index_distal 9.997197 170.002803
middle_proximal 10.072686 79.927314
middle_distal 10.023221 169.976779
pinky 10.093063 259.906937
torso_yaw 76.737409 23.262591
torso_roll 29.915841 30.084159
torso_pitch 39.694782 50.305218
