tstart 0.000000
tend 1.707000
errx 0.000978
erro 0.215726
shoulder_pitch 61.255104 43.744896
shoulder_roll 24.047782 135.952218
shoulder_yaw 98.072820 18.927180
elbow 22.303138 68.696862
wrist_prosup 95.201682 24.798318
wrist_pitch 48.436730 56.563270
wrist_yaw 44.999986 0.000014
hand_fingers 49.977957 10.022043
thumb_oppose 10.131298 79.868702
thumb_proximal 10.000441 79.999559
thumb_distal 10.001101 169.998899
index_proximal 10.070373 79.929627
index_distal 10.020785 169.979215
middle_proximal 10.071657 79.928343
middle_distal 10.022460 169.977540
pinky 10.091536 259.908464
torso_yaw 69.735119 30.264881
torso_roll 29.931774 30.068226
torso_pitch 19.856868 70.143132
