tstart 0.000000
tend 1.597000
errx 0.011043
erro 0.029273
shoulder_pitch 35.004695 69.995305
shoulder_roll 25.451265 134.548735
shoulder_yaw 83.761624 33.238376
elbow 8.155872 82.844128
wrist_prosup 116.904278 3.095722
wrist_pitch 55.406426 49.593574
wrist_yaw 44.999589 0.000412
hand_fingers 50.005921 9.994079
thumb_oppose 10.126499 79.873501
thumb_proximal 9.993035 80.006965
thumb_distal 9.972519 170.027481
index_proximal 10.069647 79.930353
index_distal 10.020076 169.979924
middle_proximal 10.072013 79.927987
middle_distal 10.022392 169.977608
pinky 10.092186 259.907814
torso_yaw 71.055561 28.944439
torso_roll 29.945560 30.054440
torso_pitch 37.702280 52.297720
