tstart 0.000000
tend 1.656000
errx 0.004036
erro 0.224265
shoulder_pitch 55.128059 49.871941
shoulder_roll 23.189863 136.810137
shoulder_yaw 113.336151 3.663849
elbow 6.315161 84.684839
wrist_prosup 72.779812 47.220188
wrist_pitch 39.523333 65.476667
wrist_yaw 44.999984 0.000016
hand_fingers 49.744211 10.288112
thumb_oppose 10.133865 79.866135
thumb_proximal 10.003603 79.996397
thumb_distal 10.003148 169.996852
index_proximal 10.070449 79.929551
index_distal 10.021044 169.978956
middle_proximal 10.071154 79.928846
middle_distal 10.022211 169.977789
pinky 10.090045 259.909955
torso_yaw 82.655841 17.344159
torso_roll 29.887169 30.112831
torso_pitch 19.823323 70.176677
