tstart 0.000000
tend 1.781000
errx 0.001451
erro 0.174457
shoulder_pitch 58.934980 46.065020
shoulder_roll 23.963071 136.036929
shoulder_yaw 102.542820 14.457180
elbow 13.687088 77.312912
wrist_prosup 88.139503 31.860497
wrist_pitch 43.792569 61.207431
wrist_yaw 44.999985 0.000015
hand_fingers 49.980856 10.019144
thumb_oppose 10.131240 79.868760
thumb_proximal 9.998941 80.001059
thumb_distal 9.999616 170.000384
index_proximal 10.070341 79.929659
index_distal 10.020778 169.979222
middle_proximal 10.071793 79.928207
middle_distal 10.022587 169.977413
pinky 10.026822 259.973178
torso_yaw 73.840950 26.159050
torso_roll 29.936127 30.063873
torso_pitch 19.869647 70.130353
