tstart 0.000000
tend 1.599000
errx 0.006526
erro 0.062857
shoulder_pitch 38.696083 66.303917
shoulder_roll 25.178078 134.821922
shoulder_yaw 82.722616 34.277384
elbow 5.629518 85.370482
wrist_prosup 114.392580 5.607420
wrist_pitch 53.426963 51.573037
wrist_yaw 44.999986 0.000014
hand_fingers 49.999731 10.000269
thumb_oppose 10.128631 79.871369
thumb_proximal 9.993870 80.006130
thumb_distal 9.996913 170.003087
index_proximal 10.070032 79.929968
index_distal 10.020425 169.979575
middle_proximal 10.072209 79.927791
middle_distal 10.022667 169.977333
pinky 10.092488 259.907512
torso_yaw 75.688649 24.311351
torso_roll 29.914554 30.085446
torso_pitch 33.703306 56.296694
