tstart 0.000000
tend 1.775000
errx 0.010914
erro 0.059331
shoulder_pitch 29.788681 75.211319
shoulder_roll 25.599353 134.400647
shoulder_yaw 81.442718 35.557282
elbow 0.000274 91.000274
wrist_prosup 119.999957 0.000260
wrist_pitch 52.047039 52.952961
wrist_yaw 44.999926 0.000074
hand_fingers 49.773101 10.259333
thumb_oppose 10.127931 79.872069
thumb_proximal 9.994004 80.005996
thumb_distal 9.996816 170.003184
index_proximal 10.069784 79.930216
index_distal 10.020187 169.979813
middle_proximal 10.071996 79.928004
middle_distal 10.022467 169.977533
pinky 10.092154 259.907846
torso_yaw 78.300657 21.699343
torso_roll 29.927162 30.072838
torso_pitch 40.590635 49.409365
