tstart 0.000000
tend 1.249000
errx 0.006434
erro 0.073254
shoulder_pitch 0.249282 105.249282
shoulder_roll 62.863154 97.136846
shoulder_yaw 93.804870 23.195130
elbow 17.885924 73.114076
wrist_prosup 119.953819 0.046181
wrist_pitch 64.975050 40.024950
wrist_yaw 38.912755 6.087245
hand_fingers 49.827971 10.193614
thumb_oppose 10.130040 79.869960
thumb_proximal 9.996103 80.003897
thumb_distal 9.999325 170.000675
index_proximal 10.071456 79.928544
index_distal 10.021401 169.978599
middle_proximal 10.073082 79.926918
middle_distal 10.023326 169.976674
pinky 10.072326 259.927674
torso_yaw 99.874951 0.125049
torso_roll 29.988294 30.011706
torso_pitch 64.102856 25.897144
