tstart 0.000000
tend 1.647000
errx 0.002849
erro 0.237924
shoulder_pitch 55.827484 49.172516
shoulder_roll 23.856752 136.143248
shoulder_yaw 113.873473 3.126527
elbow 12.529438 78.470562
wrist_prosup 76.498696 43.501304
wrist_pitch 41.242752 63.757248
wrist_yaw 44.999984 0.000016
hand_fingers 49.968442 10.031558
thumb_oppose 10.131415 79.868585
thumb_proximal 10.002709 79.997291
thumb_distal 10.001924 169.998076
index_proximal 10.070139 79.929861
index_distal 10.020715 169.979285
middle_proximal 10.071172 79.928828
middle_distal 9.998014 170.001986
pinky 10.058445 259.941555
torso_yaw 76.648366 23.351634
torso_roll 29.923562 30.076438
torso_pitch 19.939703 70.060297
