tstart 0.000000
tend 1.505000
errx 0.008325
erro 0.048712
shoulder_pitch 41.270218 63.729782
shoulder_roll 25.293605 134.706395
shoulder_yaw 83.026789 33.973211
elbow 9.188695 81.811305
wrist_prosup 114.466045 5.533955
wrist_pitch 53.623471 51.376529
wrist_yaw 44.999921 0.000079
hand_fingers 49.774460 10.258143
thumb_oppose 10.127412 79.872588
thumb_proximal 9.993274 80.006726
thumb_distal 9.996537 170.003463
index_proximal 10.069932 79.930068
index_distal 10.020368 169.979632
middle_proximal 10.072279 79.927721
middle_distal 10.022750 169.977250
pinky 10.092860 259.907140
torso_yaw 72.487748 27.512252
torso_roll 29.926759 30.073241
torso_pitch 33.829750 56.170250
