tstart 0.000000
tend 1.394000
errx 0.001820
erro 0.104961
shoulder_pitch 49.922688 55.077312
shoulder_roll 24.424582 135.575418
shoulder_yaw 93.256668 23.743332
elbow 7.982843 83.017157
wrist_prosup 99.978484 20.021516
wrist_pitch 46.772377 58.227623
wrist_yaw 44.999986 0.000014
hand_fingers 49.991964 10.008036
thumb_oppose 10.130765 79.869235
thumb_proximal 9.996915 80.003085
thumb_distal 9.999405 170.000595
index_proximal 10.070767 79.929233
index_distal 9.996951 170.003049
middle_proximal 10.072491 79.927509
middle_distal 10.023094 169.976906
pinky 10.092946 259.907054
torso_yaw 74.646993 25.353007
torso_roll 29.918499 30.081501
torso_pitch 27.063056 62.936944
