tstart 0.000000
tend 1.398563
errx 0.000747
erro 0.319646
shoulder_pitch 60.045370 44.954630
shoulder_roll 23.969577 136.030423
shoulder_yaw 100.860878 16.139122
elbow 26.531252 64.468748
wrist_prosup 92.784829 27.215171
wrist_pitch 50.286171 54.713829
wrist_yaw 44.999986 0.000014
hand_fingers 49.963624 10.036376
thumb_oppose 10.131759 79.868241
thumb_proximal 10.002808 79.997192
thumb_distal 10.001744 169.998256
index_proximal 10.070180 79.929820
index_distal 9.972105 170.027895
middle_proximal 10.071131 79.928869
middle_distal 10.022239 169.977761
pinky 10.090843 259.909157
torso_yaw 71.483554 28.516446
torso_roll 29.904422 30.095578
torso_pitch 19.867071 70.132929
